Price,Open,High,Low,Close,Volume
Ticker,LMT,LMT,LMT,LMT,LMT
Date,,,,,
2025-01-13,465.5635017448948,481.2675913131105,465.36495508498604,479.6197509765625,1435200
2025-01-14,481.4462384844897,481.64478513340964,474.4677509198649,480.9101867675781,1162000
2025-01-15,484.18603554267276,484.18603554267276,476.8501699046747,480.4237976074219,882200
2025-01-16,478.2696812423611,483.4315912542433,477.9718915583535,483.2926025390625,956400
2025-01-17,483.9676356298591,488.444568712605,480.6421761704337,486.7272644042969,1337600
2025-01-21,491.37297815548067,505.8163535776159,491.0950310159595,502.58026123046875,1615900
2025-01-22,499.55260033627286,501.82582930377845,491.5516607900649,495.6811828613281,1324800
2025-01-23,499.83052871366374,502.29236782543416,490.3604533137485,493.6362609863281,913000
2025-01-24,491.37297355718374,493.64620246261734,490.9759105464358,493.318603515625,759400
2025-01-27,496.42567043548877,503.3942216524325,493.13992633103254,499.9992980957031,1948600
2025-01-28,470.22907611223593,476.2148913579139,453.9194404195533,454.09814453125,4023900
2025-01-29,456.62941949433616,459.10116470144317,446.1070833341519,451.0307312011719,2396800
2025-01-30,453.2344700830417,456.52024446033425,448.0130324877716,456.281982421875,1911800
2025-01-31,456.6294342774852,460.82845063329944,453.800311071538,459.5578308105469,1474600
2025-02-03,455.4382160429498,457.9496767257992,450.2564634122766,452.0830078125,1476300
2025-02-04,450.6734059428558,452.0730780855755,447.953492438063,450.3557434082031,1234200
2025-02-05,453.6514307383182,453.750704068608,445.48172338834047,446.57366943359375,1139700
2025-02-06,446.70271753555784,448.85683063613027,441.37206995333486,445.2335510253906,1291800
2025-02-07,446.6034253573834,448.19170767815893,440.52827350233525,441.1338195800781,1347400
2025-02-10,441.540806521789,445.65048605652396,437.4807787986229,444.9357604980469,1427800
2025-02-11,444.6180891759387,448.4895065853648,441.73934445067135,446.0673828125,906100
2025-02-12,443.9827837203005,445.84901316861686,437.8182646884538,438.7315368652344,1282800
2025-02-13,439.257660194996,442.0371315769486,428.84453349257814,431.53466796875,2400000
2025-02-14,430.37321597496975,431.97143469687563,416.6247239857574,420.0891418457031,3252800
2025-02-18,426.54153091448245,429.75778073846277,420.3968845351852,425.39996337890625,2812500
2025-02-19,427.84192508218496,434.7906338422204,422.4616258272124,429.77764892578125,2802100
2025-02-20,426.4323147003739,434.79063195916217,426.16430398376104,433.0931701660156,1358000
2025-02-21,433.1924328874358,440.4786465134677,432.4777073666661,437.4906921386719,1652400
2025-02-24,438.7613104169493,444.99529343464417,435.3266715371721,437.0439758300781,1946200
2025-02-25,438.513155525532,448.36048182106447,437.7686510169997,445.1739807128906,1715500
2025-02-26,442.5632434658103,444.7173564906568,436.12080752678924,438.2649841308594,1466900
2025-02-27,438.9499277803332,443.80408135512397,438.21535970293735,443.1886291503906,1458100
2025-02-28,443.724674821131,447.4968187758498,441.76910848767744,447.0699768066406,1433600
2025-03-03,452.8699951171875,454.42999267578125,448.8299865722656,451.94000244140625,1579400
2025-03-04,450.7799987792969,463.739990234375,448.489990234375,448.82000732421875,2268700
2025-03-05,451.1300048828125,463.4800109863281,449.3699951171875,460.4200134277344,2060100
2025-03-06,461.32000732421875,463.5,453.4100036621094,461.5,1395800
2025-03-07,458.0,477.489990234375,458.0,473.6499938964844,2168700
2025-03-10,475.4599914550781,494.20001220703125,473.70001220703125,479.1700134277344,2284400
2025-03-11,476.7099914550781,478.6499938964844,466.5400085449219,468.8800048828125,1456900
2025-03-12,465.1400146484375,466.82000732421875,456.0,461.5,1271500
2025-03-13,460.04998779296875,468.5299987792969,459.8599853515625,467.92999267578125,1159200
2025-03-14,465.9200134277344,469.0,461.9599914550781,466.1700134277344,972400
2025-03-17,463.8399963378906,472.2699890136719,462.8299865722656,467.6099853515625,1051600
2025-03-18,468.1199951171875,471.6300048828125,465.3900146484375,469.2799987792969,881600
2025-03-19,471.2300109863281,475.69000244140625,466.7699890136719,470.54998779296875,1122700
2025-03-20,469.1600036621094,469.8999938964844,464.2099914550781,466.739990234375,922000
2025-03-21,478.0899963378906,481.5,432.510009765625,439.70001220703125,7141700
2025-03-24,425.6300048828125,435.7699890136719,424.29998779296875,434.9800109863281,3015400
2025-03-25,436.7699890136719,444.010009765625,433.0,442.07000732421875,1600200
2025-03-26,444.2799987792969,451.20001220703125,443.0,445.1700134277344,1349700
2025-03-27,446.0299987792969,448.1400146484375,440.2200012207031,442.2799987792969,1559300
2025-03-28,442.2300109863281,445.760009765625,439.55999755859375,441.489990234375,1595700
2025-03-31,441.57000732421875,451.05999755859375,440.739990234375,446.7099914550781,1690000
2025-04-01,448.0,451.25,444.4800109863281,448.6400146484375,1042400
2025-04-02,446.2200012207031,455.9200134277344,445.010009765625,452.8699951171875,1270300
2025-04-03,453.510009765625,461.8800048828125,450.79998779296875,454.7799987792969,1813800
2025-04-04,450.0,454.92999267578125,432.1300048828125,432.1499938964844,2391400
